ticket_subject,ticket_description,category,subcategory,device_type,tags
Laptop not powering on suddenly,My laptop refuses to turn on after I returned from lunch. I tried pressing the power button several times but nothing happens.,hardware,laptop,laptop,"hardware,laptop,power"
Monitor screen is flickering a lot,"The monitor at my workstation is flickering constantly, making it hard to work. Please send someone to check the cables or the screen.",hardware,monitor,monitor,"hardware,monitor,display"
Test ticket Unicode edge case,"This is a test ticket to verify the system’s handling of unicode characters: 測試, тест, prueba, اختبار.",other,unicode,,"test,unicode,edge-case"
ERP login failing for all users,Users in the production department are unable to access the ERP system since this morning. The error message says credentials invalid.,software,ERP,desktop,"software,erp,production"
WiFi outage on 3rd floor,No one on the 3rd floor can connect to WiFi. Lights are blinking red on the access points.,network,WiFi,tablet,"network,wifi,outage,critical"
VPN access request for remote work,I need VPN access to connect to company resources while working from home next week.,access,VPN,laptop,"access,vpn,request"
Password reset not working,Attempted to reset password using the portal but never received the reset email. Tried several times.,access,password,laptop,"access,password,reset"
Server running out of disk space,"The main file server in DC-1 is running out of disk space. Only 5% free space left, needs cleanup.",hardware,server,server,"hardware,server,critical"
Epoch time test ticket,This is a test to check how the system handles epoch time and boundary values.,other,epoch,,"test,epoch,boundary"
Tablet not connecting to WiFi,"My tablet cannot connect to the office WiFi network, even after restarting both the tablet and the router.",network,WiFi,tablet,"network,wifi,tablet"
New application access required,Requesting access to the new compliance application for three members of the legal team.,access,application,desktop,"access,application,request"
Scanner software not launching,The scanner software crashes immediately after double-clicking the icon. This is affecting our invoice scanning process.,software,scanner,desktop,"software,scanner,procurement"
Unable to receive emails externally,External clients report that their emails are bouncing back. We are not receiving any external emails.,software,email,desktop,"software,email,marketing"
Edge-case ticket for empty fields,"This is a purposely created ticket to test how the system handles empty department, location, and device_type fields.",other,test,,"test,edge-case,special"
Desktop making loud beeping sounds,"My desktop started making loud, repetitive beeping noises. This began after I tried to restart it.",hardware,desktop,desktop,"hardware,desktop,beeping"
Printer not responding to print jobs,Print jobs are queuing but nothing is printing. Tried restarting the printer but the problem persists.,hardware,printer,printer,"hardware,printer,queue"
Remote desktop not connecting,Cannot connect to my remote desktop from home. Getting timeout errors.,access,VPN,laptop,"access,vpn,remote"
LAN outage in server room,Servers in DC-1-Rack-2 lost LAN connectivity. Unable to ping gateway or internet.,network,LAN,server,"network,lan,critical"
Mobile device security alert,Received a security alert on my mobile device about a suspicious login attempt.,software,security,mobile,"software,security,logistics"
Test ticket for empty device type,This ticket is designed to test how the system handles missing device_type information.,other,test,,"test,empty,device"
Server room temperature alert,IoT sensors in the server room report high temperature. May impact equipment performance.,hardware,IoT sensor,IoT sensor,"hardware,iot sensor,temperature"
Testing edge case for empty location,This is a test for verifying empty location fields in ticket data.,other,test,desktop,"test,location,empty"
ERP reports not generating,Unable to generate reports in the ERP system. The process gets stuck at 50%.,software,ERP,desktop,"software,erp,marketing"
Remote user unable to access files,Remote user cannot access shared engineering files. Gets permission denied error.,access,VPN,laptop,"access,vpn,engineering"
Scanner not detected on network,The scanner is not showing up on any computers in the production area.,software,scanner,desktop,"software,scanner,production"
Laptop battery draining quickly,My laptop battery lasts only one hour after a full charge. Used to last the whole day before.,hardware,laptop,laptop,"hardware,laptop,battery"
Test empty department and impact,Checking if the system handles missing department and impact fields gracefully.,other,test,,"test,edge,special"
Tablet screen not responding,My tablet’s touch screen is not responding to any input.,hardware,tablet,tablet,"hardware,tablet,touch"
Test Unicode support,Testing if the system supports emojis and special unicode: 🚀🌟.,other,unicode,,"test,unicode,emoji"
Printer showing paper jam frequently,Printer in the finance office shows paper jam error even though there is no paper stuck.,hardware,printer,printer,"hardware,printer,jam"
Server not reachable from network,Cannot ping or access the main server. Might be a network issue in the data center.,hardware,server,server,"hardware,server,network"
Application access delayed,Applied for access to new HR system two days ago but still not received login details.,access,application,desktop,"access,application,hr"
Unable to login after password reset,Password was reset successfully but new credentials do not let me in.,access,password,laptop,"access,password,login"
Mobile device unable to access ERP,Can’t open the ERP app on my mobile device. It keeps crashing on launch.,software,ERP,mobile,"software,erp,mobile"
Monitor keeps switching off,Monitor turns off by itself every few minutes. Checked power cable.,hardware,monitor,monitor,"hardware,monitor,power"
Desktop won’t boot after update,My desktop computer refuses to boot after the latest Windows update.,hardware,desktop,desktop,"hardware,desktop,update"
Security software not updating,The endpoint security software is stuck on an outdated version. Manual update fails.,software,security,desktop,"software,security,update"
Email not syncing on mobile device,Company email account is not syncing on my mobile device. Last update was yesterday.,software,email,mobile,"software,email,production"
Test empty fields for device/location,Edge case ticket to test handling of empty device_type and location fields.,other,test,,"test,empty,edge-case"
Laptop touchpad not responding,Touchpad on my laptop stopped responding after last night’s update.,hardware,laptop,laptop,"hardware,laptop,touchpad"
VPN application not opening,"When trying to start the VPN application, nothing happens. Tried reinstalling.",access,VPN,laptop,"access,vpn,hr"
Access request for compliance application,Need access to the compliance application to review new policies.,access,application,desktop,"access,application,legal"
IoT sensor reporting false alarms,IoT sensor in server room keeps sending high temperature alerts but room is cool.,hardware,IoT sensor,IoT sensor,"hardware,iot sensor,alert"
Tablet not charging,Tablet is not charging when plugged in. Charger works with other devices.,hardware,tablet,tablet,"hardware,tablet,charging"
Password reset for new employee,Need to reset password for new hire in HR. User cannot login.,access,password,laptop,"access,password,reset"
LAN connectivity issues,PCs on the first floor intermittently lose LAN connectivity.,network,LAN,desktop,"network,lan,connectivity"
Laptop overheating during calls,My laptop gets extremely hot when I’m on video calls. The fan is very loud.,hardware,laptop,laptop,"hardware,laptop,overheating"
Server in EXEC-LOUNGE offline,The server in the executive lounge is not accessible and services are down.,hardware,server,server,"hardware,server,critical"
Epoch time boundary test,Another epoch time boundary value test for robustness.,other,epoch,,"test,epoch,robust"
Desktop keyboard not working,The keyboard on my desktop is not responding. Tried replacing batteries.,hardware,desktop,desktop,"hardware,desktop,keyboard"
Laptop battery not charging properly,The laptop's battery fails to hold a charge and shuts down unexpectedly. This issue began after a recent software update.,hardware,laptop,laptop,"hardware,laptop,battery,power"
Test ticket for unicode scenario,This ticket is created to test system handling of unicode and special characters in descriptions.,other,unicode,,"test,edge-case,unicode"
Password reset needed for HR portal,Unable to log in to the HR portal. Password reset attempts fail to send any email notifications.,access,password,desktop,"access,password,hr,request"
Server room temperature alert received,Automated alert triggered for high temperature in DC-1-Rack-3 server rack. Monitoring required for potential hardware risks.,hardware,server,server,"hardware,server,critical,outage"
Monitor flickering on desktop workstation,Monitor display intermittently flickers and occasionally loses signal on the desktop workstation in the sales department.,hardware,monitor,monitor,"hardware,monitor,display,sales"
Epoch test for legacy system,Testing system compatibility with epoch time values for the R&D database. No user impact expected.,other,epoch,,"test,epoch,legacy,rd"
Unable to send emails from mobile device,"User is unable to send emails from their mobile phone, while webmail works normally. Suspect configuration issue.",software,email,mobile,"software,email,marketing,mobile"
ERP module reporting error codes,ERP system returns error code 503 for several users trying to run monthly reports. Production data may be affected.,software,ERP,desktop,"software,erp,production,report"
VPN connection fails intermittently,User reported that the VPN disconnects randomly during remote work. Occurs several times every hour.,access,VPN,laptop,"access,vpn,remote,legal"
System test for edge-case scenario,"Edge-case scenario for system testing. No business impact, but required for QA validation.",other,test,desktop,"test,qa,edge-case,archive"
Cannot access application remotely,Application access fails when connecting from home. Internal network access is unaffected. Likely firewall or VPN issue.,access,application,laptop,"access,application,remote,operations"
ERP login page not loading,The ERP system's login page does not load for several users. No error message is displayed.,software,ERP,desktop,"software,erp,login,procurement"
WiFi outage in common area,WiFi unavailable in the HQ common area since this morning. Affects all users on the floor.,network,WiFi,tablet,"network,wifi,critical,support"
Desktop keyboard not working,"The desktop keyboard is unresponsive since this morning. Tried reconnecting USB, but no change.",hardware,desktop,desktop,"hardware,desktop,keyboard,finance"
Unassigned ticket for test,Created to test behavior for tickets with no department and minimal details.,other,test,,"test,edge-case,none"
LAN connection is unreliable,Wired LAN connection drops frequently in the IT workspace. Network diagnostics indicate possible switch failure.,network,LAN,tablet,"network,lan,critical,it"
Scanner software not found on device,"After the latest update, the scanner software appears to be missing from the production workstation.",software,scanner,desktop,"software,scanner,production,update"
Mobile device cannot launch ERP app,ERP mobile app fails to start on new company-issued mobile device. App crashes immediately after launch.,software,ERP,mobile,"software,erp,mobile,procurement"
Application access request,Requesting access to the new legal documentation application for two department members.,access,application,desktop,"access,application,legal,request"
Critical server outage in BLDG-A,The main application server in BLDG-A is down and not responding to remote management commands.,hardware,server,server,"hardware,server,critical,support"
Laptop screen brightness stuck,Cannot adjust the screen brightness on company laptop. Brightness setting is locked at maximum.,hardware,laptop,laptop,"hardware,laptop,screen,finance"
Mobile device security warnings,Security warnings are displayed on the logistics team's mobile devices after a recent update.,software,security,mobile,"software,security,logistics,mobile"
Monitor showing blank screen,Sales team desktop monitor powers on but displays a blank screen. Switching cables did not resolve the issue.,hardware,monitor,monitor,"hardware,monitor,sales,blank"
Tablet not syncing with server,The company-issued tablet does not sync files with the main server. Users unable to access shared documents.,hardware,tablet,tablet,"hardware,tablet,server,sync"
Test for special character handling,Testing the ticket system's handling of special characters and symbols in ticket content.,other,unicode,,"test,special,unicode,rd"
Printer not responding to print jobs,"Legal department printer does not print any submitted jobs. Device status shows online, but no output produced.",hardware,printer,printer,"hardware,printer,legal,print"
ERP user account request,New ERP user account needed for a production department team member. Please assign standard permissions.,software,ERP,desktop,"software,erp,production,account"
VPN client not launching on laptop,VPN client application fails to start on the company laptop. User needs remote access for urgent work.,access,VPN,laptop,"access,vpn,laptop,urgent"
LAN not available in meeting room,No LAN connectivity in the main HQ meeting room. Wired connections have no link lights.,network,LAN,tablet,"network,lan,critical,meeting"
Email client not syncing on desktop,The email client is not syncing new messages on the desktop workstation in the marketing department.,software,email,desktop,"software,email,desktop,marketing"
Laptop touchpad not responding,Laptop touchpad stopped working after a Windows update. External mouse functions normally.,hardware,laptop,laptop,"hardware,laptop,touchpad,finance"
Mobile app requesting device permissions,Logistics mobile app requests additional permissions after last update. Unsure if this is expected.,software,security,mobile,"software,security,mobile,logistics"
Application access denied for new hire,New HR team member receives access denied error for onboarding app. Account appears active in the system.,access,application,desktop,"access,application,hr,onboarding"
IoT sensor offline in server room,One of the IoT sensors in the server room is reporting offline status. Data stream interrupted since last night.,hardware,IoT sensor,IoT sensor,"hardware,iot sensor,server,critical"
Password reset request,Legal department staff requires password reset for a secure document management system.,access,password,desktop,"access,password,legal,reset"
VPN not connecting from remote site,Employee working at a remote site unable to establish VPN connection. Needs urgent access to internal apps.,access,VPN,laptop,"access,vpn,remote,operations"
Desktop freezes on startup,User reports the desktop system freezes during startup. Occurred after a recent software installation.,hardware,desktop,desktop,"hardware,desktop,freeze,finance"
QA test ticket for legacy support,This ticket is used for QA legacy system support and should not affect regular operations.,other,test,,"test,qa,archive,legacy"
Tablet cannot access executive lounge WiFi,Tablet device used by executives cannot connect to the EXEC-LOUNGE WiFi. Network not listed among available connections.,network,WiFi,tablet,"network,wifi,executive,tablet"
Empty department test ticket,Testing ticket system with an empty department field for system robustness.,other,test,,"test,empty,edge-case"
Critical server reboot required,Support team requests urgent reboot for backend server due to memory errors affecting all users.,hardware,server,server,"hardware,server,critical,reboot"
Email filter not blocking spam,Increase in spam emails received by marketing staff. Suspect email filter not working as expected.,software,email,desktop,"software,email,spam,marketing"
Mobile device update failed,Update process failed for company-issued mobile device. Device stuck on loading screen.,software,scanner,mobile,"software,scanner,mobile,logistics"
Monitor color calibration issue,Monitor in finance department displays incorrect colors. Calibration tool does not resolve the issue.,hardware,monitor,monitor,"hardware,monitor,finance,color"
Desktop unable to connect to WiFi,Desktop in HR department cannot connect to WiFi network. Other devices are not affected.,network,WiFi,desktop,"network,wifi,hr,desktop"
Edge case test for epoch time,Ticket created to check epoch time behavior in ticketing system for R&D.,other,epoch,,"test,epoch,rd,edge-case"
Laptop fan noise excessive,"Laptop fan runs at high speed constantly, causing noise in the sales office. System temperature normal.",hardware,laptop,laptop,"hardware,laptop,fan,sales"
ERP report export not working,ERP system fails to export reports for procurement users. Export button is disabled without explanation.,software,ERP,desktop,"software,erp,export,procurement"
Monitor flickers after power outage,"After a recent power outage, monitor on sales workstation flickers on and off.",hardware,monitor,monitor,"hardware,monitor,sales,outage"
Testing empty fields in ticket,"Edge case ticket to verify system handling of empty department, device and location fields.",other,test,,"test,edge-case,empty"
Laptop battery drains quickly,The laptop battery is discharging much faster than usual and does not last for a full meeting.,hardware,laptop,laptop,"hardware,laptop,battery,finance"
Server not responding after update,"After the latest OS patch, the main file server is unresponsive and users cannot access shared drives.",hardware,server,server,"hardware,server,outage,critical"
ERP login fails for marketing team,"Several marketing team members cannot log into the ERP system, receiving authentication errors.",software,ERP,desktop,"software,erp,marketing,login"
Printer queue stuck on factory floor,Print jobs are not leaving the print queue and nothing is coming out of the main factory printer.,hardware,printer,printer,"hardware,printer,queue,production"
VPN access request for remote hire,New remote employee needs VPN credentials and setup instructions to access the internal network securely.,access,VPN,laptop,"access,vpn,remote,hr"
Unicode test for reporting,Testing the system's ability to accept and process Unicode characters in ticket fields.,other,unicode,,"test,unicode,edge-case"
Desktop freezes during CRM use,"Sales team desktop locks up when running CRM application, requiring a hard reboot to recover.",hardware,desktop,desktop,"hardware,desktop,crm,sales"
Epoch time record validation,Submitter is validating that the ticketing system correctly handles epoch timestamps.,other,epoch,,"test,epoch,rd,edge-case"
Tablet system update failed,Tablet in the support office failed to install the latest system update and remains on previous version.,hardware,tablet,tablet,"hardware,tablet,update,support"
WiFi outage in executive lounge,Wireless network unavailable for executives. Devices unable to connect to WiFi in the executive lounge.,network,WiFi,tablet,"network,wifi,critical,executive"
Password reset required for user,"Legal department staff unable to access application due to forgotten password, needs urgent reset.",access,password,desktop,"access,password,legal,reset"
Test ticket for system edge case,Creating a test ticket to verify system handling of empty and unusual values in ticket records.,other,test,,"test,edge-case,archive"
Unicode characters in ticket fields,"Checking if the ticketing system supports extended Unicode in all text fields, including subject and description.",other,unicode,,"test,unicode,edge-case,rd"
Scanner connection lost in warehouse,"Warehouse scanner is unable to connect to the main system, cannot complete inventory scanning.",software,scanner,mobile,"software,scanner,warehouse,logistics"
ERP error during purchase order,User unable to submit purchase order in ERP system due to unexpected database error message.,software,ERP,desktop,"software,erp,procurement,error"
Monitor flicker on office desktop,"Legal staff reports monitor flickers intermittently on their desktop PC, causing eye strain.",hardware,monitor,desktop,"hardware,monitor,desktop,legal"
IoT sensor lost connectivity,"Environmental IoT sensor in server room lost connection to network, no data reporting since yesterday.",hardware,IoT sensor,IoT sensor,"hardware,sensor,iot,environment"
LAN outage in executive boardroom,"All wired connections down in executive boardroom, impacting video conference and presentations.",network,LAN,server,"network,lan,critical,executive"
Application access request for analyst,Support team analyst requires access to new reporting application for daily operations.,access,application,laptop,"access,application,request,support"
Remote desktop unable to connect,"User in operations unable to connect to office desktop from remote location, connection times out.",access,VPN,laptop,"access,vpn,remote,operations"
Mobile device security alert,Mobile device flagged a security threat and is unable to access company email or CRM.,software,security,mobile,"software,security,mobile,sales"
Edge-case test - empty fields,Submitting ticket with intentionally left blank fields for edge-case testing.,other,test,,"test,edge-case,empty"
Power issue with office desktop,Finance staff desktop fails to power on after weekend shutdown. No indicator lights on device.,hardware,desktop,desktop,"hardware,desktop,power,finance"
Employee onboarding application access,HR staff needs access provisioned for new team member in the onboarding application.,access,application,laptop,"access,application,onboarding,hr"
Laptop unable to connect to WiFi,"Production team laptop cannot connect to factory WiFi network, network not appearing in list.",network,WiFi,laptop,"network,wifi,laptop,production"
Archive system edge-case scenario,Archival storage system being tested for response to edge-case scenarios and unusual data entries.,other,test,,"test,archive,edge-case"
Access denied to reporting tool,"Support user unable to open reporting tool, access denied after recent update.",access,application,desktop,"access,application,reporting,support"
Warehouse scanner firmware error,Logistics team warehouse scanner displays firmware error and will not scan barcodes.,software,scanner,mobile,"software,scanner,logistics,firmware"
Remote VPN connection interrupted,Engineering user working remotely lost connection to VPN and cannot access internal resources.,access,VPN,laptop,"access,vpn,remote,engineering"
Monitor does not power on,Finance team desktop monitor will not turn on after being unplugged for cleaning.,hardware,monitor,desktop,"hardware,monitor,desktop,finance"
Server room temperature alert,"IT systems flagged high temperature in server room, possible HVAC system failure.",hardware,server,server,"hardware,server,critical,temperature"
ERP access for procurement team,Procurement user requests new account in ERP software for recent hire.,software,ERP,desktop,"software,erp,procurement,access"
Password reset for onboarding system,"HR staff unable to log into onboarding system, password reset required urgently.",access,password,laptop,"access,password,onboarding,hr"
Printer not responding to jobs,"Legal office printer is not printing any documents, jobs remain in the queue.",hardware,printer,printer,"hardware,printer,legal,queue"
Tablet unable to sync email,"Executive's tablet is unable to synchronize email with company server, error persists after restart.",software,email,tablet,"software,email,tablet,executive"
Test ticket for field validation,Submitting a ticket to validate system's ability to handle missing or empty fields.,other,test,,"test,validation,edge-case"
Email bounce-back for outbound mail,Outbound emails from marketing are bouncing back due to unknown error.,software,email,desktop,"software,email,marketing,bounce"
Laptop bluescreen after update,Support user's laptop crashes to bluescreen after applying latest security update.,hardware,laptop,laptop,"hardware,laptop,bluescreen,support"
LAN port not working in lab,"Lab desktop unable to connect via LAN port, cable tested and working.",network,LAN,desktop,"network,lan,desktop,engineering"
Mobile device unable to scan barcodes,"Production mobile scanner will not scan barcodes, app exits unexpectedly.",software,scanner,mobile,"software,scanner,barcode,production"
Desktop will not boot after update,Desktop in legal office fails to boot after Windows update last night.,hardware,desktop,desktop,"hardware,desktop,boot,legal"
CRM application access locked,"Sales user locked out of CRM application after password attempts, needs urgent access.",access,application,laptop,"access,application,crm,sales"
Onboarding application hangs on login,"New HR staff unable to log in, onboarding app hangs indefinitely after entering credentials.",software,application,laptop,"software,application,login,hr"
Tablet screen not responding,Support team tablet is unresponsive to touch input after recent drop.,hardware,tablet,tablet,"hardware,tablet,touch,support"
Unicode input validation ticket,Testing system handling of Unicode input in archive department ticket fields.,other,unicode,,"test,unicode,archive"
CRM application not loading data,"Sales team unable to view CRM data, app loads with empty dashboard after login.",software,application,laptop,"software,application,crm,sales"
Laptop failed to install update,"Finance laptop failed to install recent update, system rollback initiated.",hardware,laptop,laptop,"hardware,laptop,update,finance"
Monitor display flicker in warehouse,"Production monitor display flickers with horizontal lines, affecting operator workflow.",hardware,monitor,desktop,"hardware,monitor,display,production"
ERP error on invoice submission,"Procurement user reports error when submitting invoice in ERP, system returns validation failure.",software,ERP,desktop,"software,erp,invoice,procurement"
WiFi weak signal in executive suite,"Executives experiencing weak WiFi signal in the suite, frequent disconnections during calls.",network,WiFi,tablet,"network,wifi,critical,executive"
Server RAID failure alert,RAID controller alert triggered. Possible drive failure on production server.,hardware,server,server,"hardware,server,marketing,high"
Software license audit request,Please provide a summary of active software licenses for compliance review.,other,test,desktop,"other,test,legal,high"
Application license expired,Users are getting a license expiry message and cannot use the application.,access,application,desktop,"access,application,operations,medium"
Scanner feeder jamming frequently,The automatic document feeder is jamming with every batch of pages.,software,scanner,desktop,"software,scanner,hr,high"
IoT sensor giving incorrect readings,Temperature sensor readings seem unreliable and inconsistent with actual conditions.,hardware,IoT sensor,IoT sensor,"hardware,IoT sensor,hr,high"
Server memory error logged,Error logs show memory faults on the application server. Needs inspection.,hardware,server,server,"hardware,server,legal,high"
Laptop touchpad not working,The touchpad on my laptop is unresponsive. I am currently using a USB mouse as a workaround.,hardware,laptop,laptop,"hardware,laptop,executive,high"
Server reboot required after update,Server requires a scheduled reboot following last night's system update.,hardware,server,server,"hardware,server,operations,medium"
Monitor flickering intermittently,"The monitor screen flickers every few minutes, causing eye strain.",hardware,monitor,monitor,"hardware,monitor,legal,high"
Account permissions need updating,User's role changed and their account permissions need to be updated accordingly.,access,account,desktop,"access,account,hr,medium"
Printer prints blank pages,The printer produces blank pages instead of the expected document output.,hardware,printer,printer,"hardware,printer,it,medium"
CRM not syncing with email,The CRM is not pulling in emails from Outlook. Integration appears broken.,software,CRM,desktop,"software,CRM,procurement,medium"
VPN two-factor authentication issue,2FA prompt is not being received during VPN login attempts.,access,VPN,laptop,"access,VPN,hr,medium"
Monitor has dead pixels,Several dead pixels are visible on the monitor screen. Replacement needed.,hardware,monitor,monitor,"hardware,monitor,production,critical"
Unauthorized device detected on network,Network monitoring flagged an unrecognized device on the internal network.,software,security,mobile,"software,security,hr,high"
Application throwing 500 error,Users receive a 500 internal server error when accessing certain app features.,access,application,desktop,"access,application,operations,high"
IoT sensor giving incorrect readings,Temperature sensor readings seem unreliable and inconsistent with actual conditions.,hardware,IoT sensor,IoT sensor,"hardware,IoT sensor,marketing,critical"
IoT sensor giving incorrect readings,Temperature sensor readings seem unreliable and inconsistent with actual conditions.,hardware,IoT sensor,IoT sensor,"hardware,IoT sensor,sales,medium"
Firewall blocking legitimate traffic,The firewall is blocking access to a required external API endpoint.,network,firewall,server,"network,firewall,legal,high"
Tablet screen cracked,The tablet screen is cracked and touch is unresponsive in affected area.,hardware,tablet,tablet,"hardware,tablet,production,low"
Antivirus flagging false positive,Antivirus is blocking a known-good application used for financial reporting.,software,antivirus,desktop,"software,antivirus,marketing,high"
Security software blocking legitimate app,Security software is incorrectly blocking a required business application.,software,security,mobile,"software,security,sales,medium"
Antivirus scan causing system slowdown,Scheduled antivirus scans are causing severe system slowdowns during work hours.,software,antivirus,desktop,"software,antivirus,logistics,medium"
IT support during office move,Requesting IT support to assist with equipment setup during office relocation.,other,unicode,desktop,"other,unicode,support,critical"
Application access needed for new employee,Please grant application access to a new team member starting Monday.,access,application,desktop,"access,application,legal,high"
