text,category
"laptop touchpad not responding touchpad on my laptop stopped responding after last night’s update. laptop laptop hardware,laptop,touchpad",hardware
"vpn application not opening when trying to start the vpn application, nothing happens. tried reinstalling. vpn laptop access,vpn,hr",access
"access request for compliance application need access to the compliance application to review new policies. application desktop access,application,legal",access
"iot sensor reporting false alarms iot sensor in server room keeps sending high temperature alerts but room is cool. iot sensor iot sensor hardware,iot sensor,alert",hardware
"tablet not charging tablet is not charging when plugged in. charger works with other devices. tablet tablet hardware,tablet,charging",hardware
"password reset for new employee need to reset password for new hire in hr. user cannot login. password laptop access,password,reset",access
"lan connectivity issues pcs on the first floor intermittently lose lan connectivity. lan desktop network,lan,connectivity",network
"laptop overheating during calls my laptop gets extremely hot when i’m on video calls. the fan is very loud. laptop laptop hardware,laptop,overheating",hardware
"server in exec-lounge offline the server in the executive lounge is not accessible and services are down. server server hardware,server,critical",hardware
"desktop keyboard not working the keyboard on my desktop is not responding. tried replacing batteries. desktop desktop hardware,desktop,keyboard",hardware
"laptop battery not charging properly the laptop's battery fails to hold a charge and shuts down unexpectedly. this issue began after a recent software update. laptop laptop hardware,laptop,battery,power",hardware
"password reset needed for hr portal unable to log in to the hr portal. password reset attempts fail to send any email notifications. password desktop access,password,hr,request",access
"server room temperature alert received automated alert triggered for high temperature in dc-1-rack-3 server rack. monitoring required for potential hardware risks. server server hardware,server,critical,outage",hardware
"monitor flickering on desktop workstation monitor display intermittently flickers and occasionally loses signal on the desktop workstation in the sales department. monitor monitor hardware,monitor,display,sales",hardware
"unable to send emails from mobile device user is unable to send emails from their mobile phone, while webmail works normally. suspect configuration issue. email mobile software,email,marketing,mobile",software
"erp module reporting error codes erp system returns error code 503 for several users trying to run monthly reports. production data may be affected. erp desktop software,erp,production,report",software
"vpn connection fails intermittently user reported that the vpn disconnects randomly during remote work. occurs several times every hour. vpn laptop access,vpn,remote,legal",access
"system test for edge-case scenario edge-case scenario for system testing. no business impact, but required for qa validation. test desktop test,qa,edge-case,archive",other
"cannot access application remotely application access fails when connecting from home. internal network access is unaffected. likely firewall or vpn issue. application laptop access,application,remote,operations",access
"erp login page not loading the erp system's login page does not load for several users. no error message is displayed. erp desktop software,erp,login,procurement",software
"wifi outage in common area wifi unavailable in the hq common area since this morning. affects all users on the floor. wifi tablet network,wifi,critical,support",network
"desktop keyboard not working the desktop keyboard is unresponsive since this morning. tried reconnecting usb, but no change. desktop desktop hardware,desktop,keyboard,finance",hardware
"lan connection is unreliable wired lan connection drops frequently in the it workspace. network diagnostics indicate possible switch failure. lan tablet network,lan,critical,it",network
"scanner software not found on device after the latest update, the scanner software appears to be missing from the production workstation. scanner desktop software,scanner,production,update",software
"mobile device cannot launch erp app erp mobile app fails to start on new company-issued mobile device. app crashes immediately after launch. erp mobile software,erp,mobile,procurement",software
"application access request requesting access to the new legal documentation application for two department members. application desktop access,application,legal,request",access
"critical server outage in bldg-a the main application server in bldg-a is down and not responding to remote management commands. server server hardware,server,critical,support",hardware
"laptop screen brightness stuck cannot adjust the screen brightness on company laptop. brightness setting is locked at maximum. laptop laptop hardware,laptop,screen,finance",hardware
"mobile device security warnings security warnings are displayed on the logistics team's mobile devices after a recent update. security mobile software,security,logistics,mobile",software
"monitor showing blank screen sales team desktop monitor powers on but displays a blank screen. switching cables did not resolve the issue. monitor monitor hardware,monitor,sales,blank",hardware
"tablet not syncing with server the company-issued tablet does not sync files with the main server. users unable to access shared documents. tablet tablet hardware,tablet,server,sync",hardware
"printer not responding to print jobs legal department printer does not print any submitted jobs. device status shows online, but no output produced. printer printer hardware,printer,legal,print",hardware
"erp user account request new erp user account needed for a production department team member. please assign standard permissions. erp desktop software,erp,production,account",software
"vpn client not launching on laptop vpn client application fails to start on the company laptop. user needs remote access for urgent work. vpn laptop access,vpn,laptop,urgent",access
"lan not available in meeting room no lan connectivity in the main hq meeting room. wired connections have no link lights. lan tablet network,lan,critical,meeting",network
"email client not syncing on desktop the email client is not syncing new messages on the desktop workstation in the marketing department. email desktop software,email,desktop,marketing",software
"laptop touchpad not responding laptop touchpad stopped working after a windows update. external mouse functions normally. laptop laptop hardware,laptop,touchpad,finance",hardware
"mobile app requesting device permissions logistics mobile app requests additional permissions after last update. unsure if this is expected. security mobile software,security,mobile,logistics",software
"application access denied for new hire new hr team member receives access denied error for onboarding app. account appears active in the system. application desktop access,application,hr,onboarding",access
"iot sensor offline in server room one of the iot sensors in the server room is reporting offline status. data stream interrupted since last night. iot sensor iot sensor hardware,iot sensor,server,critical",hardware
"password reset request legal department staff requires password reset for a secure document management system. password desktop access,password,legal,reset",access
"vpn not connecting from remote site employee working at a remote site unable to establish vpn connection. needs urgent access to internal apps. vpn laptop access,vpn,remote,operations",access
"desktop freezes on startup user reports the desktop system freezes during startup. occurred after a recent software installation. desktop desktop hardware,desktop,freeze,finance",hardware
"tablet cannot access executive lounge wifi tablet device used by executives cannot connect to the exec-lounge wifi. network not listed among available connections. wifi tablet network,wifi,executive,tablet",network
"critical server reboot required support team requests urgent reboot for backend server due to memory errors affecting all users. server server hardware,server,critical,reboot",hardware
"email filter not blocking spam increase in spam emails received by marketing staff. suspect email filter not working as expected. email desktop software,email,spam,marketing",software
"mobile device update failed update process failed for company-issued mobile device. device stuck on loading screen. scanner mobile software,scanner,mobile,logistics",software
"monitor color calibration issue monitor in finance department displays incorrect colors. calibration tool does not resolve the issue. monitor monitor hardware,monitor,finance,color",hardware
"desktop unable to connect to wifi desktop in hr department cannot connect to wifi network. other devices are not affected. wifi desktop network,wifi,hr,desktop",network
"laptop fan noise excessive laptop fan runs at high speed constantly, causing noise in the sales office. system temperature normal. laptop laptop hardware,laptop,fan,sales",hardware
"erp report export not working erp system fails to export reports for procurement users. export button is disabled without explanation. erp desktop software,erp,export,procurement",software
"monitor flickers after power outage after a recent power outage, monitor on sales workstation flickers on and off. monitor monitor hardware,monitor,sales,outage",hardware
"laptop battery drains quickly the laptop battery is discharging much faster than usual and does not last for a full meeting. laptop laptop hardware,laptop,battery,finance",hardware
"server not responding after update after the latest os patch, the main file server is unresponsive and users cannot access shared drives. server server hardware,server,outage,critical",hardware
"erp login fails for marketing team several marketing team members cannot log into the erp system, receiving authentication errors. erp desktop software,erp,marketing,login",software
"printer queue stuck on factory floor print jobs are not leaving the print queue and nothing is coming out of the main factory printer. printer printer hardware,printer,queue,production",hardware
"vpn access request for remote hire new remote employee needs vpn credentials and setup instructions to access the internal network securely. vpn laptop access,vpn,remote,hr",access
"desktop freezes during crm use sales team desktop locks up when running crm application, requiring a hard reboot to recover. desktop desktop hardware,desktop,crm,sales",hardware
"tablet system update failed tablet in the support office failed to install the latest system update and remains on previous version. tablet tablet hardware,tablet,update,support",hardware
"wifi outage in executive lounge wireless network unavailable for executives. devices unable to connect to wifi in the executive lounge. wifi tablet network,wifi,critical,executive",network
"password reset required for user legal department staff unable to access application due to forgotten password, needs urgent reset. password desktop access,password,legal,reset",access
"scanner connection lost in warehouse warehouse scanner is unable to connect to the main system, cannot complete inventory scanning. scanner mobile software,scanner,warehouse,logistics",software
"erp error during purchase order user unable to submit purchase order in erp system due to unexpected database error message. erp desktop software,erp,procurement,error",software
"monitor flicker on office desktop legal staff reports monitor flickers intermittently on their desktop pc, causing eye strain. monitor desktop hardware,monitor,desktop,legal",hardware
"iot sensor lost connectivity environmental iot sensor in server room lost connection to network, no data reporting since yesterday. iot sensor iot sensor hardware,sensor,iot,environment",hardware
"lan outage in executive boardroom all wired connections down in executive boardroom, impacting video conference and presentations. lan server network,lan,critical,executive",network
"application access request for analyst support team analyst requires access to new reporting application for daily operations. application laptop access,application,request,support",access
"remote desktop unable to connect user in operations unable to connect to office desktop from remote location, connection times out. vpn laptop access,vpn,remote,operations",access
"mobile device security alert mobile device flagged a security threat and is unable to access company email or crm. security mobile software,security,mobile,sales",software
"power issue with office desktop finance staff desktop fails to power on after weekend shutdown. no indicator lights on device. desktop desktop hardware,desktop,power,finance",hardware
"employee onboarding application access hr staff needs access provisioned for new team member in the onboarding application. application laptop access,application,onboarding,hr",access
"laptop unable to connect to wifi production team laptop cannot connect to factory wifi network, network not appearing in list. wifi laptop network,wifi,laptop,production",network
"access denied to reporting tool support user unable to open reporting tool, access denied after recent update. application desktop access,application,reporting,support",access
"warehouse scanner firmware error logistics team warehouse scanner displays firmware error and will not scan barcodes. scanner mobile software,scanner,logistics,firmware",software
"remote vpn connection interrupted engineering user working remotely lost connection to vpn and cannot access internal resources. vpn laptop access,vpn,remote,engineering",access
"monitor does not power on finance team desktop monitor will not turn on after being unplugged for cleaning. monitor desktop hardware,monitor,desktop,finance",hardware
"server room temperature alert it systems flagged high temperature in server room, possible hvac system failure. server server hardware,server,critical,temperature",hardware
"erp access for procurement team procurement user requests new account in erp software for recent hire. erp desktop software,erp,procurement,access",software
"password reset for onboarding system hr staff unable to log into onboarding system, password reset required urgently. password laptop access,password,onboarding,hr",access
"printer not responding to jobs legal office printer is not printing any documents, jobs remain in the queue. printer printer hardware,printer,legal,queue",hardware
"tablet unable to sync email executive's tablet is unable to synchronize email with company server, error persists after restart. email tablet software,email,tablet,executive",software
"email bounce-back for outbound mail outbound emails from marketing are bouncing back due to unknown error. email desktop software,email,marketing,bounce",software
"laptop bluescreen after update support user's laptop crashes to bluescreen after applying latest security update. laptop laptop hardware,laptop,bluescreen,support",hardware
"lan port not working in lab lab desktop unable to connect via lan port, cable tested and working. lan desktop network,lan,desktop,engineering",network
"mobile device unable to scan barcodes production mobile scanner will not scan barcodes, app exits unexpectedly. scanner mobile software,scanner,barcode,production",software
"desktop will not boot after update desktop in legal office fails to boot after windows update last night. desktop desktop hardware,desktop,boot,legal",hardware
"crm application access locked sales user locked out of crm application after password attempts, needs urgent access. application laptop access,application,crm,sales",access
"onboarding application hangs on login new hr staff unable to log in, onboarding app hangs indefinitely after entering credentials. application laptop software,application,login,hr",software
"tablet screen not responding support team tablet is unresponsive to touch input after recent drop. tablet tablet hardware,tablet,touch,support",hardware
"crm application not loading data sales team unable to view crm data, app loads with empty dashboard after login. application laptop software,application,crm,sales",software
"laptop failed to install update finance laptop failed to install recent update, system rollback initiated. laptop laptop hardware,laptop,update,finance",hardware
"monitor display flicker in warehouse production monitor display flickers with horizontal lines, affecting operator workflow. monitor desktop hardware,monitor,display,production",hardware
"erp error on invoice submission procurement user reports error when submitting invoice in erp, system returns validation failure. erp desktop software,erp,invoice,procurement",software
"wifi weak signal in executive suite executives experiencing weak wifi signal in the suite, frequent disconnections during calls. wifi tablet network,wifi,critical,executive",network
"server raid failure alert raid controller alert triggered. possible drive failure on production server. server server hardware,server,marketing,high",hardware
"software license audit request please provide a summary of active software licenses for compliance review. test desktop other,test,legal,high",other
"application license expired users are getting a license expiry message and cannot use the application. application desktop access,application,operations,medium",access
"scanner feeder jamming frequently the automatic document feeder is jamming with every batch of pages. scanner desktop software,scanner,hr,high",software
"iot sensor giving incorrect readings temperature sensor readings seem unreliable and inconsistent with actual conditions. iot sensor iot sensor hardware,iot sensor,hr,high",hardware
"server memory error logged error logs show memory faults on the application server. needs inspection. server server hardware,server,legal,high",hardware
"laptop touchpad not working the touchpad on my laptop is unresponsive. i am currently using a usb mouse as a workaround. laptop laptop hardware,laptop,executive,high",hardware
"server reboot required after update server requires a scheduled reboot following last night's system update. server server hardware,server,operations,medium",hardware
"monitor flickering intermittently the monitor screen flickers every few minutes, causing eye strain. monitor monitor hardware,monitor,legal,high",hardware
"account permissions need updating user's role changed and their account permissions need to be updated accordingly. account desktop access,account,hr,medium",access
"printer prints blank pages the printer produces blank pages instead of the expected document output. printer printer hardware,printer,it,medium",hardware
"crm not syncing with email the crm is not pulling in emails from outlook. integration appears broken. crm desktop software,crm,procurement,medium",software
"vpn two-factor authentication issue 2fa prompt is not being received during vpn login attempts. vpn laptop access,vpn,hr,medium",access
"monitor has dead pixels several dead pixels are visible on the monitor screen. replacement needed. monitor monitor hardware,monitor,production,critical",hardware
"unauthorized device detected on network network monitoring flagged an unrecognized device on the internal network. security mobile software,security,hr,high",software
"application throwing 500 error users receive a 500 internal server error when accessing certain app features. application desktop access,application,operations,high",access
"iot sensor giving incorrect readings temperature sensor readings seem unreliable and inconsistent with actual conditions. iot sensor iot sensor hardware,iot sensor,marketing,critical",hardware
"iot sensor giving incorrect readings temperature sensor readings seem unreliable and inconsistent with actual conditions. iot sensor iot sensor hardware,iot sensor,sales,medium",hardware
"firewall blocking legitimate traffic the firewall is blocking access to a required external api endpoint. firewall server network,firewall,legal,high",network
"tablet screen cracked the tablet screen is cracked and touch is unresponsive in affected area. tablet tablet hardware,tablet,production,low",hardware
"antivirus flagging false positive antivirus is blocking a known-good application used for financial reporting. antivirus desktop software,antivirus,marketing,high",software
"security software blocking legitimate app security software is incorrectly blocking a required business application. security mobile software,security,sales,medium",software
"antivirus scan causing system slowdown scheduled antivirus scans are causing severe system slowdowns during work hours. antivirus desktop software,antivirus,logistics,medium",software
"it support during office move requesting it support to assist with equipment setup during office relocation. unicode desktop other,unicode,support,critical",other
"application access needed for new employee please grant application access to a new team member starting monday. application desktop access,application,legal,high",access
"monitor not displaying image monitor remains black even though the computer is on and cable is connected. monitor monitor hardware,monitor,procurement,low",hardware
"application license expired users are getting a license expiry message and cannot use the application. application desktop access,application,production,medium",access
"crm access needed for new sales rep new sales team member needs access provisioned in the crm system. crm desktop software,crm,r&d,high",software
"vpn client fails to connect the vpn client returns an authentication error when trying to connect from home. vpn laptop access,vpn,procurement,medium",access
"printer calibration needed print outputs are misaligned and colors are off. the printer needs calibration. printer printer hardware,printer,it,medium",hardware
"vpn client fails to connect the vpn client returns an authentication error when trying to connect from home. vpn laptop access,vpn,sales,medium",access
"tablet app crashes on launch the required business app crashes immediately upon opening on this tablet. tablet tablet hardware,tablet,operations,medium",hardware
"scanner producing blurry images scanned documents are coming out blurry regardless of quality settings. scanner desktop software,scanner,it,high",software
"application access needed for new employee please grant application access to a new team member starting monday. application desktop access,application,logistics,medium",access
"laptop fan making loud noise the cooling fan on my laptop is very loud and seems to be running at full speed constantly. laptop laptop hardware,laptop,hr,high",hardware
"dns cache needs flushing stale dns entries are causing users to reach old server addresses. dns server network,dns,finance,medium",network
"vpn client fails to connect the vpn client returns an authentication error when trying to connect from home. vpn laptop access,vpn,sales,high",access
"scanner not detected by computer the document scanner is connected but not recognized by the workstation. scanner desktop software,scanner,it,medium",software
"it equipment inventory request need a current list of all it equipment assigned to the department. test desktop other,test,sales,medium",other
"dns cache needs flushing stale dns entries are causing users to reach old server addresses. dns server network,dns,operations,high",network
"lan cable damaged and needs replacement the lan cable running to my workstation is damaged and needs replacing. lan server network,lan,procurement,low",network
"laptop fan making loud noise the cooling fan on my laptop is very loud and seems to be running at full speed constantly. laptop laptop hardware,laptop,finance,high",hardware
"laptop touchpad not working the touchpad on my laptop is unresponsive. i am currently using a usb mouse as a workaround. laptop laptop hardware,laptop,finance,high",hardware
"dns resolution failing for internal domains users cannot resolve internal domain names. external sites work fine. dns server network,dns,it,high",network
"it equipment inventory request need a current list of all it equipment assigned to the department. unicode desktop other,unicode,legal,critical",other
"laptop docking station not recognized when docking my laptop, external monitors and peripherals are not detected. laptop laptop hardware,laptop,r&d,medium",hardware
"wifi password changed and users locked out wifi credentials were changed and users have not received the new password. wifi tablet network,wifi,marketing,medium",network
"desktop running extremely slow applications are taking over 5 minutes to load on this desktop pc. desktop desktop hardware,desktop,production,high",hardware
"it support during office move requesting it support to assist with equipment setup during office relocation. general desktop other,general,logistics,medium",other
"scanner not detected by computer the document scanner is connected but not recognized by the workstation. scanner desktop software,scanner,marketing,medium",software
"iot sensor offline an iot sensor in the server room has gone offline and is not reporting data. iot sensor iot sensor hardware,iot sensor,logistics,critical",hardware
"password policy confusion user is unsure of current password requirements and needs guidance. password desktop access,password,it,medium",access
"iot sensor giving incorrect readings temperature sensor readings seem unreliable and inconsistent with actual conditions. iot sensor iot sensor hardware,iot sensor,operations,high",hardware
"laptop fan making loud noise the cooling fan on my laptop is very loud and seems to be running at full speed constantly. laptop laptop hardware,laptop,legal,medium",hardware
"firewall blocking legitimate traffic the firewall is blocking access to a required external api endpoint. firewall server network,firewall,support,high",network
"account locked after failed attempts account has been locked after multiple failed login attempts. please unlock. password desktop access,password,marketing,high",access
"it equipment inventory request need a current list of all it equipment assigned to the department. test desktop other,test,finance,high",other
"crm access needed for new sales rep new sales team member needs access provisioned in the crm system. crm desktop software,crm,logistics,medium",software
"lan cable damaged and needs replacement the lan cable running to my workstation is damaged and needs replacing. lan server network,lan,r&d,critical",network
"desktop audio not working no sound output from desktop. speakers and headphones both affected. desktop desktop hardware,desktop,it,low",hardware
"antivirus update failed on workstation workstation antivirus failed to update and is showing an error code. antivirus desktop software,antivirus,r&d,critical",software
"departed employee account deactivation please disable all accounts for an employee who has left the company. account desktop access,account,executive,high",access
"antivirus software out of date antivirus definitions have not updated in over 30 days on multiple machines. security mobile software,security,operations,high",software
"application access needed for new employee please grant application access to a new team member starting monday. application desktop access,application,support,high",access
"scanner not detected by computer the document scanner is connected but not recognized by the workstation. scanner desktop software,scanner,sales,medium",software
"new employee account setup needed please create all required accounts for new employee starting next monday. account desktop access,account,finance,critical",access
"lan vlan misconfiguration after a network change, devices are not getting correct vlan assignments. lan server network,lan,executive,medium",network
"tablet cannot join corporate wifi the tablet fails to authenticate with the corporate wireless network. tablet tablet hardware,tablet,executive,medium",hardware
"password reset request user is locked out of their account and needs a password reset. password desktop access,password,executive,medium",access
"laptop touchpad not working the touchpad on my laptop is unresponsive. i am currently using a usb mouse as a workaround. laptop laptop hardware,laptop,finance,medium",hardware
"data loss prevention alert triggered dlp policy triggered for a file transfer. please review the alert details. security mobile software,security,hr,medium",software
"email marked as spam by recipients outgoing company emails are being flagged as spam by recipient servers. email desktop software,email,marketing,high",software
"laptop fan making loud noise the cooling fan on my laptop is very loud and seems to be running at full speed constantly. laptop laptop hardware,laptop,marketing,medium",hardware
"departed employee account deactivation please disable all accounts for an employee who has left the company. account desktop access,account,marketing,low",access
"server raid failure alert raid controller alert triggered. possible drive failure on production server. server server hardware,server,support,high",hardware
"dns cache needs flushing stale dns entries are causing users to reach old server addresses. dns server network,dns,executive,high",network
"email account not syncing on mobile work email is not syncing to mobile device. calendar is also affected. email desktop software,email,marketing,medium",software
"wifi authentication error devices get an authentication error when trying to connect to corporate wifi. wifi tablet network,wifi,production,high",network
"email account not syncing on mobile work email is not syncing to mobile device. calendar is also affected. email desktop software,email,r&d,critical",software
"application crashes on login the business application crashes immediately upon entering credentials. application desktop access,application,support,critical",access
"crm data export failing attempting to export crm reports results in an error. data cannot be extracted. crm desktop software,crm,executive,medium",software
"new employee account setup needed please create all required accounts for new employee starting next monday. account desktop access,account,legal,medium",access
"printer calibration needed print outputs are misaligned and colors are off. the printer needs calibration. printer printer hardware,printer,marketing,high",hardware
"software license audit request please provide a summary of active software licenses for compliance review. test desktop other,test,logistics,medium",other
"phishing email reported by user a user received a suspicious phishing email. please investigate and advise. security mobile software,security,support,medium",software
"password expiry causing lockout password expired and self-service reset is not sending the recovery email. password desktop access,password,production,medium",access
"email account not syncing on mobile work email is not syncing to mobile device. calendar is also affected. email desktop software,email,executive,medium",software
"antivirus flagging false positive antivirus is blocking a known-good application used for financial reporting. antivirus desktop software,antivirus,finance,high",software
"desktop running extremely slow applications are taking over 5 minutes to load on this desktop pc. desktop desktop hardware,desktop,executive,critical",hardware
